x,y
-0.467,-0.759
-0.431,0.851
-0.411,2.959
-0.41,4.953
-0.406,-2.183
-0.393,-2.196
-0.384,5.278
-0.178,3.706
-0.173,5.726
-0.114,4.234
-0.106,9.031
-0.102,-0.984
0.059,14.912
0.075,11.026
0.077,14.84
0.085,10.301
0.148,12.578
0.19,20.49
0.193,16.468
0.285,16.784
0.31,23.067
0.333,27.131
0.388,34.097
0.461,38.26
0.492,38.851
0.553,54.512
0.554,49.821
0.632,55.205
0.643,58.235
0.709,70.149
0.742,71.817
0.806,76.424
0.894,78.145
0.948,78.944
0.96,75.744
0.987,81.804
1.013,84.983
1.021,82.965
1.027,85.068
1.113,87.417
1.21,87.842
1.211,86.512
1.242,87.76
1.334,88.684
1.341,91.036
1.348,88.376
1.379,90.726
1.384,92.639
1.411,88.987
1.463,89.445
