x,y
1.17,4
1.18,5
1.71,10
2.43,9
3.69,13
3.71,10
4.51,17
5.4,9
6.27,14
6.48,8
6.93,13
7.29,16
7.56,21
7.99,44
8.6,37
9.54,22
10.3,10
12.6,20
13.37,13
13.47,44
13.57,34
14.09,27
14.49,21
15.03,14
18.04,28
18.89,15
19.26,12
19.61,38
20.45,36
20.45,31
21.22,38
26.22,44
27.52,15
28.46,23
28.91,34
29.52,20
30.36,33
30.7,21
31.43,28
31.83,37
34.27,18
36.03,23
36.61,15
38.52,32
40.21,22
44.09,21
45.16,29
47.7,37
54.39,18
58.27,20
60.47,48
63.84,18
66.15,33
67.13,26
72.28,23
73.47,30
75.19,21
76.41,23
79.88,24
82.24,23
84.38,25
85.86,46
87.57,24
88.23,22
88.88,37
92.33,31
95.23,47
96,27
103.38,35
105.76,28
109.08,32
117.24,39
120.76,27
127.84,38
128.68,31
135.92,37
137.38,23
140.92,45
142.27,34
145.31,38
148.93,40
158.31,13
161.15,22
178.99,32
179.36,28
187.05,22
202.66,38
205.3,25
214.36,13
258.42,33
295.21,26
305.75,29
325.78,40
436.97,17
438.25,32
441.01,31
467.24,26
472.78,32
526.68,26
640.88,35
641.76,52
1169.11,23
1309.1,31
1689.67,56
1694.32,21
1905.16,34
